OriginalRoll,OriginalPitch,FilteredRoll,FilteredPitch
4.52,43.15,4.11279,39.2626
2.29,20.67,3.1969,29.9205
5.23,-12.69,3.96127,13.9006
5.46,8.22,4.44457,12.0687
5.54,49.24,4.76992,23.1086
5.14,53.92,4.87509,31.8646
5.06,18.41,4.92641,28.1303
7.21,-0.84,5.55228,20.1903
9.26,36.89,6.56166,24.7366
9.27,52.05,7.29633,32.1457
7.95,24.24,7.47331,30.0053
12.19,-4.91,8.74903,20.5617
8.86,23.84,8.77903,21.4479
7.21,44.28,8.35501,27.6182
8.78,12.62,8.46984,23.5656
9.5,12.74,8.74817,20.6407
7.97,43.03,8.53793,26.6896
9.31,32.32,8.74652,28.2108
8.84,5.36,8.77177,22.0374
7.92,8.91,8.54166,18.4909
6.09,39.51,7.87933,24.1694
5.37,34.88,7.20141,27.0629
170.27,-0.15,51.2555,19.7112
163.93,11.82,81.6952,17.5793
160.73,19.57,103.047,18.1171
157.75,27.93,117.825,20.7681
154.42,38.28,127.712,25.4991
151.42,46.12,134.117,31.0699
137.49,54.18,135.028,37.3133
120.47,52.81,131.095,41.4998
105.51,44.7,124.183,42.3644
101.74,38.16,118.12,41.2285
99.55,29.71,113.103,38.1167
98.34,22.01,109.115,33.7654
97,12.82,105.842,28.1069
96.31,-0.94,103.267,20.2597
103.42,-24.33,103.308,8.2135
125.1,-42.79,109.195,-5.56542
-11.41,-37.47,76.6131,-14.1846
4.67,-33.73,57.1772,-19.4649
11.81,-34.98,44.921,-23.6564
19.94,-37.97,38.1722,-27.5233
23.8,-41.47,34.2895,-31.2911
23.86,-43.95,31.4719,-34.711
18.36,-44.77,27.9296,-37.4285
6.73,-43.49,22.2024,-39.066
-2.77,-39.6,15.456,-39.2103
-5.36,-30.13,9.8324,-36.7572
2.52,-29.77,7.85691,-34.8696
5.49,-30.1,7.21747,-33.581
14.43,-31.45,9.16598,-33.0053
29.95,-34.25,14.7809,-33.3416
40.13,-36.29,21.6291,-34.1381
44.25,-39.91,27.7403,-35.6974
40.21,-42.68,31.1091,-37.5838
29.17,-44.77,30.5852,-39.5252
16.96,-44.35,26.9043,-40.8287
0.35,-38.82,19.7305,-40.286
-2.51,-34.16,13.7221,-38.631
-0.32,-32.57,9.92852,-36.9936
9.53,-31.84,9.82086,-35.6013
19.63,-32.17,12.4709,-34.6743
31.06,-33.05,17.4928,-34.2355
44,-33.5,24.6539,-34.0368
61.27,-32.27,34.546,-33.5595
65.57,-33.29,42.9273,-33.4867
64.55,-37.8,48.7688,-34.652
54.48,-44.83,50.3117,-37.4016
30.03,-46.15,44.8325,-39.765
22.42,-42.97,38.7776,-40.6309
24.09,-42.58,34.8097,-41.1575
47.77,-41.24,38.311,-41.1798
56.98,-39.91,43.3545,-40.8367
77.06,-33.36,52.4603,-38.8168
85.87,-28.39,61.4861,-36
100.07,-23.12,71.9098,-32.5204
105.55,-25.99,80.9979,-30.7561
105.56,-29.31,87.6335,-30.3655
98.7,-41.26,90.6232,-33.3087
60.73,-57.85,82.5474,-39.9387
42.01,-55.72,71.5959,-44.2021
41.06,-54.12,63.3465,-46.8815
54.63,-47.89,60.9917,-47.1539
56.06,-47.2,59.6593,-47.1664
74.11,-39.21,63.5633,-45.0169
83.58,-35.26,68.9709,-42.381
95.22,-31.17,76.0623,-39.3523
92.21,-36.15,80.4247,-38.4872
86.76,-42.53,82.1362,-39.5794
72.98,-54.48,79.6626,-43.6049
7.32,-59.07,60.1188,-47.7829
5.76,-53.58,45.4334,-49.349
11.25,-47.15,36.1986,-48.7549
21.62,-40.96,32.2601,-46.6491
34.17,-36.56,32.7761,-43.9235
50.6,-30.57,37.5913,-40.3159
65.05,-25.24,45.0094,-36.2431
69.8,-23.48,51.7068,-32.7951
73.82,-27.27,57.6808,-31.3024
71.68,-33.13,61.4628,-31.7962
47.51,-53.9,57.6933,-37.7676
22.49,-54.38,48.1829,-42.2556
-6.96,-44.49,33.2857,-42.8592
-15.31,-39.87,20.1573,-42.0517
-6.07,-35.53,13.0718,-40.2898
7.6,-31.45,11.5936,-37.9017
22.43,-26.32,14.5211,-34.7728
59.06,-12.1,26.5536,-28.6476
66.48,-7.6,37.3399,-22.9615
67.08,-5.04,45.3744,-18.1199
63.07,-6.31,50.155,-14.9294
58.65,-13.84,52.45,-14.6351
55.03,-18.17,53.147,-15.59
47.74,-24.56,51.6862,-18.0133
17.12,-32.47,42.348,-21.9189
-5.14,-27.56,29.5188,-23.4429
-9.25,-19.35,19.0452,-22.3372
-0.73,-18.04,13.7028,-21.1763
10.8,-16.64,12.9186,-19.9508
15.54,-16.26,13.6268,-18.9537
41.76,-15.29,21.2271,-17.9639
68.83,-14.02,34.0873,-16.8984
70.92,-16.22,44.0379,-16.7152
70.76,-17.01,51.2571,-16.7948
56,-25.58,52.5384,-19.1682
38.28,-25.98,48.6864,-21.0084
31.43,-24.32,44.0245,-21.9031
31.05,-23.68,40.5193,-22.3831
32.25,-24.76,38.2853,-23.0253
24.59,-27.98,34.5854,-24.3638
5.91,-29.71,26.8386,-25.8081
-17.53,-27.5,14.8521,-26.2652
-20.31,-26.97,5.35287,-26.4556
-38.15,-20.39,-6.3997,-24.8169
-51.59,-14.69,-18.6081,-22.0811
-56.38,-12.57,-28.8124,-19.5116
-66.26,-3.81,-38.9291,-15.2697
-64.87,-3.38,-45.9372,-12.0576
-71.06,-1.25,-52.7243,-9.13789
-69.42,-1.63,-57.2347,-7.10958
-64.91,-3.64,-59.3083,-6.17226
-56.78,-9.08,-58.6252,-6.9578
-26.02,-25.59,-49.8167,-11.9914
-5.28,-33.68,-37.7849,-17.8507
21.21,-37.78,-21.847,-23.2347
39.32,-36.65,-5.32238,-26.859
61.77,-29.74,12.803,-27.6373
66.79,-27.77,27.388,-27.6731
89.4,-17.13,44.1409,-24.8248
96.57,-12.15,58.3049,-21.4007
100.05,-9.3,69.5826,-18.1316
111.69,0.29,80.9582,-13.1549
118.36,6.66,91.0625,-7.80177
