OriginalRoll,OriginalPitch,PredictedRoll,CorrectedRoll,FilteredRoll,PredictedPitch,CorrectedPitch,FilteredPitch
0,0,0,0,0,0,0,0
30,30,0,11.2788,17.316,0,11.2788,17.316
30.8116,30.67,17.316,21.3242,24.0203,17.316,21.2821,23.95
30.9377,30.8268,24.0203,25.9402,27.3099,23.95,25.8586,27.2203
30.2647,29.6163,27.3099,28.1143,28.6976,27.2203,27.8726,28.3456
30.0944,29.557,28.6976,29.0758,29.3513,28.3456,28.6736,28.9125
30.0938,30.9858,29.3513,29.552,29.6984,28.9125,29.473,29.8818
30,30,29.6984,29.7799,29.8394,29.8818,29.9137,29.937
30,30,29.8394,29.8828,29.9144,29.937,29.9541,29.9665
30,30,29.9144,29.9376,29.9544,29.9665,29.9755,29.9821
30,30,29.9544,29.9667,29.9757,29.9821,29.987,29.9905
30.4517,30.9412,29.9757,30.1043,30.1982,29.9905,30.2473,30.4348
30,30,30.1982,30.1446,30.1056,30.4348,30.3173,30.2316
30,30,30.1056,30.077,30.0562,30.2316,30.169,30.1234
29.9708,30.5962,30.0562,30.0331,30.0163,30.1234,30.2511,30.3443
30,30,30.0163,30.0119,30.0087,30.3443,30.2513,30.1834
29.2838,29.0096,30.0087,29.8129,29.6699,30.1834,29.8663,29.6349
29.2249,30.8315,29.6699,29.5497,29.462,29.6349,29.9581,30.1941
30.5844,30.7569,29.462,29.7652,29.9865,30.1941,30.3461,30.4571
30,30,29.9865,29.9902,29.9928,30.4571,30.3336,30.2435
30.3115,30.5959,29.9928,30.0789,30.1417,30.2435,30.3387,30.4082
29.7226,30.6983,30.1417,30.0285,29.9459,30.4082,30.4866,30.5438
30.868,30.3627,29.9459,30.195,30.3768,30.5438,30.4948,30.4591
29.7975,30.5155,30.3768,30.2203,30.1061,30.4591,30.4744,30.4855
30.4863,29.9495,30.1061,30.2088,30.2838,30.4855,30.3407,30.235
29.8442,30.311,30.2838,30.165,30.0783,30.235,30.2555,30.2705
29.3424,29.6038,30.0783,29.8795,29.7344,30.2705,30.0904,29.9589
30.5946,29.0637,29.7344,29.9668,30.1364,29.9589,29.7171,29.5406
29.5538,30.7449,30.1364,29.979,29.8641,29.5406,29.8659,30.1034
29.2982,29.1943,29.8641,29.7112,29.5997,30.1034,29.8578,29.6785
30,30,29.5997,29.7078,29.7867,29.6785,29.7654,29.8288
30,30,29.7867,29.8444,29.8864,29.8288,29.875,29.9088
30,30,29.8864,29.9171,29.9395,29.9088,29.9334,29.9514
29.2504,29.6342,29.9395,29.7533,29.6175,29.9514,29.8657,29.8032
30.9004,29.9812,29.6175,29.9641,30.217,29.8032,29.8513,29.8864
30.3272,29.8775,30.217,30.2468,30.2685,29.8864,29.884,29.8822
29.7631,29.4204,30.2685,30.132,30.0323,29.8822,29.7575,29.6664
29.1024,30.5904,30.0323,29.7811,29.5977,29.6664,29.916,30.0982
29.3737,29.8175,29.5977,29.5372,29.493,30.0982,30.0224,29.967
29.916,29.8912,29.493,29.6073,29.6907,29.967,29.9465,29.9316
30.2926,30.5879,29.6907,29.8533,29.972,29.9316,30.1089,30.2383
30.8417,30.5094,29.972,30.2069,30.3784,30.2383,30.3115,30.365
30,30,30.3784,30.2762,30.2016,30.365,30.2664,30.1944
30.4115,30.3594,30.2016,30.2583,30.2997,30.1944,30.239,30.2715
30.3102,30.4214,30.2997,30.3025,30.3046,30.2715,30.312,30.3416
30.2879,29.238,30.3046,30.3001,30.2968,30.3416,30.0434,29.8258
29.9967,30.5478,30.2968,30.2157,30.1566,29.8258,30.0209,30.1632
30,30,30.1566,30.1143,30.0834,30.1632,30.1191,30.0869
29.6808,30.7535,30.0834,29.9746,29.8952,30.0869,30.267,30.3984
30.6164,29.4476,29.8952,30.0901,30.2323,30.3984,30.1416,29.9541
30.5025,30.6425,30.2323,30.3053,30.3586,29.9541,30.1401,30.2758
30.6417,30.0119,30.3586,30.435,30.4909,30.2758,30.2045,30.1525
30,30,30.4909,30.3583,30.2615,30.1525,30.1113,30.0812
29.8253,30.7818,30.2615,30.1436,30.0576,30.0812,30.2705,30.4086
30.9186,30.1619,30.0576,30.2902,30.46,30.4086,30.342,30.2933
29.3161,29.2772,30.46,30.151,29.9254,30.2933,30.0188,29.8185
29.2986,29.4603,29.9254,29.7561,29.6325,29.8185,29.7217,29.6511
30.6195,30.6814,29.6325,29.8991,30.0937,29.6511,29.9294,30.1326
30,30,30.0937,30.0684,30.0499,30.1326,30.0968,30.0706
29.6649,30.6286,30.0499,29.9459,29.87,30.0706,30.2214,30.3314
29.487,29.0271,29.87,29.7665,29.691,30.3314,29.979,29.7219
30,30,29.691,29.7745,29.8354,29.7219,29.797,29.8518
29.7,30.8147,29.8354,29.7988,29.7721,29.8518,30.112,30.3018
30.6969,29.5022,29.7721,30.022,30.2043,30.3018,30.0858,29.9281
30,30,30.2043,30.1491,30.1088,29.9281,29.9475,29.9617
30.5578,29.9466,30.1088,30.2301,30.3186,29.9617,29.9576,29.9547
30,30,30.3186,30.2326,30.1697,29.9547,29.9669,29.9758
29.1352,30.6617,30.1697,29.8902,29.6863,29.9758,30.1611,30.2964
30.1705,30.189,29.6863,29.8171,29.9126,30.2964,30.2674,30.2462
30.4656,30.8344,29.9126,30.062,30.171,30.2462,30.4051,30.5211
29.5717,30.3596,30.171,30.0091,29.8909,30.5211,30.4775,30.4456
29.7846,30.5075,29.8909,29.8622,29.8412,30.4456,30.4623,30.4745
29.7609,29.4161,29.8412,29.8195,29.8037,30.4745,30.1886,29.9799
30.0547,29.1517,29.8037,29.8715,29.921,29.9799,29.7562,29.5929
29.1079,29.7055,29.921,29.7013,29.541,29.5929,29.6233,29.6455
30.1856,30.5583,29.541,29.7152,29.8422,29.6455,29.8921,30.0721
