OriginalRoll,OriginalPitch,FilteredRoll,FilteredPitch
4.52,43.15,4.11279,39.2626
2.29,20.67,3.1969,29.9205
5.23,-12.69,3.96127,13.9006
5.46,8.22,4.44457,12.0687
5.54,49.24,4.76992,23.1086
5.14,53.92,4.87509,31.8646
5.06,18.41,4.92641,28.1303
7.21,-0.84,5.55228,20.1903
9.26,36.89,6.56166,24.7366
9.27,52.05,7.29633,32.1457
7.95,24.24,7.47331,30.0053
12.19,-4.91,8.74903,20.5617
8.86,23.84,8.77903,21.4479
7.21,44.28,8.35501,27.6182
8.78,12.62,8.46984,23.5656
9.5,12.74,8.74817,20.6407
7.97,43.03,8.53793,26.6896
9.31,32.32,8.74652,28.2108
8.84,5.36,8.77177,22.0374
7.92,8.91,8.54166,18.4909
-3.46,30.8,5.29932,21.8163
-3.36,39.99,2.95995,26.7261
-3.28,42.4,1.27419,30.9605
-3.64,48.82,-0.0534129,35.7853
-4.49,57.37,-1.25198,41.6166
-4.68,58.6,-2.17808,46.2048
-4.94,58.98,-2.92423,49.6561
-5.07,59.16,-3.50393,52.2236
-4.99,58.03,-3.9054,53.7922
-2.52,54.39,-3.53112,53.9537
2.18,30.4,-1.98823,47.5905
3.35,21.65,-0.546073,40.5825
3.14,18.66,0.449743,34.66
33.14,2.51,9.28122,25.9745
37.51,6.7,16.9074,20.7674
40.87,5.83,23.381,16.7319
46.82,6.46,29.7132,13.9569
50.28,6.84,35.2695,12.0342
52.96,6.54,40.0487,10.5499
58.44,6.19,45.0172,9.37207
62.39,4.55,49.7106,8.06936
64.16,3.98,53.6142,6.96459
66.94,4.73,57.2142,6.3609
69.87,5.57,60.6333,6.14724
73.23,6.89,64.0364,6.3479
76.33,8.61,67.3576,6.95902
78.14,9.4,70.2705,7.61847
81.5,8.78,73.3042,7.93226
85.87,8.39,76.6989,8.05592
86.82,8.39,79.4332,8.14618
87.32,8.37,81.5639,8.20664
92.31,8.43,84.467,8.26698
95.19,8.54,87.3639,8.34074
97.1,8.57,89.9942,8.40268
98.27,8.7,92.2299,8.483
101,9.51,94.5992,8.76045
102.04,10.03,96.6094,9.10343
104.53,11.01,98.7492,9.6185
108.79,12.27,101.462,10.3348
114.56,13.1,105,11.0819
116.95,13.09,108.229,11.6244
117.74,13.34,110.798,12.0879
118.15,13.44,112.784,12.4531
118.18,13.31,114.242,12.6846
118.24,13.32,115.322,12.8563
118.42,13.43,116.159,13.0113
118.49,13.48,116.789,13.1379
118.49,13.48,117.248,13.2303
117.77,13.87,117.389,13.4031
117.35,14.07,117.379,13.5833
115.83,14.33,116.96,13.785
115.51,14.45,116.568,13.9647
114.76,14.66,116.08,14.1525
113.11,14.65,115.278,14.2869
111.95,14.49,114.379,14.3418
111.31,14.1,113.55,14.2765
110.51,13.51,112.728,14.0694
110.2,13.36,112.045,13.8777
108.71,12.5,111.144,13.5055
106.82,10.73,109.976,12.7557
103.2,8.74,108.145,11.6708
101.27,8.47,106.288,10.8061
98.19,7.65,104.1,9.95347
95.56,7.18,101.793,9.2042
87.89,6.81,98.0371,8.55739
82.54,6.59,93.8504,8.02589
82.12,6.57,90.6814,7.63257
70.07,4.8,85.1131,6.86733
69.49,4.69,80.8924,6.27911
60.08,2.1,75.2698,5.1501
56.13,0.71,70.0991,3.95058
53.75,0.28,65.6823,2.95895
48.32,0.59,60.9917,2.31896
44.72,0.91,56.5958,1.93832
40.61,0.37,52.2772,1.51463
37.38,-0.53,48.2526,0.962261
32.47,-1.8,43.9888,0.216019
26.72,-3.09,39.3236,-0.677122
24.51,-3.63,35.3216,-1.47486
20.46,-4.64,31.3066,-2.32994
16.86,-4.91,27.4038,-3.02696
16.02,-4.85,24.3284,-3.51947
13.87,-4.62,21.503,-3.81678
11.39,-4.11,18.7709,-3.896
9.78,-4,16.342,-3.92409
7.89,-3.72,14.0586,-3.86896
5.88,-3.48,11.8491,-3.76388
4.11,-2.99,9.75834,-3.55481
3.05,-2.49,7.94604,-3.26714
2.7,-2.19,6.52879,-2.97615
2.33,-1.82,5.39446,-2.66381
2.08,-1.71,4.49904,-2.40613
1.98,-1.57,3.8185,-2.18024
1.76,-1.4,3.26239,-1.96946
1.56,-1.43,2.80248,-1.82372
1.49,-1.59,2.4479,-1.76058
1.54,-1.72,2.20263,-1.74962
1.61,-1.87,2.04253,-1.78214
1.68,-2.17,1.94459,-1.88692
1.82,-2.2,1.91093,-1.9715
1.75,-2.14,1.86745,-2.01702
1.73,-2.13,1.83032,-2.04754
1.48,-1.86,1.73568,-1.99688
0.65,-1.57,1.44238,-1.88155
0.11,-1.69,1.08243,-1.8298
-2.25,-4.63,0.18215,-2.58629
-4.74,-15.47,-1.1476,-6.06691
-4.97,-22,-2.18024,-10.3713
-5.26,-33.36,-3.01226,-16.5819
-5.5,-38,-3.68434,-22.3681
-5.41,-40.3,-4.15054,-27.2125
-5.34,-42.43,-4.47188,-31.3236
-5.46,-45.63,-4.73882,-35.1886
-5.5,-49.01,-4.94446,-38.9225
-5.13,-52.76,-4.99459,-42.6608
-4.95,-54.62,-4.98254,-45.8917
-4.57,-58.58,-4.87109,-49.3195
-4,-64.79,-4.63576,-53.4989
-2.97,-72.98,-4.18574,-58.7619
-2.51,-75.17,-3.73303,-63.1946
-2.29,-76.28,-3.34319,-66.7297
-5,-82.87,-3.79079,-71.0901
-12.06,-85.17,-6.02477,-74.8939
-80.62,-88.52,-26.1771,-78.5751
-129.61,-88.13,-54.1202,-81.1564
-150.99,-87.33,-80.2902,-82.8242
-158.43,-86.84,-101.4,-83.9091
-145.85,-88.23,-113.409,-85.0764
-138.47,-88.57,-120.179,-86.0202
7.05,-82.01,-85.8073,-84.9368
10.34,-75.76,-59.8325,-82.4577
11.14,-67.24,-40.6589,-78.3465
11.56,-57.21,-26.5516,-72.6364
12.33,-44.19,-16.0475,-64.9514
12.73,-37.77,-8.27308,-57.6082
12.71,-33.67,-2.60437,-51.1411
13,-28.33,1.61125,-44.9786
