Roll,Pitch
0,0
1.11158,0.970012
1.5377,1.42671
1.16458,0.516199
1.29412,0.756676
1.59314,2.48514
1.79892,1.79892
2.09829,2.09829
2.39744,2.39744
2.69636,2.69636
3.44668,3.93619
3.29335,3.29335
3.59137,3.59137
3.85978,4.48524
4.18629,4.18629
3.76692,3.49271
4.00448,5.61102
5.65988,5.83233
5.37089,5.37089
5.97725,6.26162
5.68267,6.65834
7.12178,6.61652
6.34437,7.06237
7.32559,6.78884
6.97525,7.44203
6.76449,7.02595
8.30698,6.77608
7.55579,8.7468
7.5889,7.48493
8.57857,8.57857
8.86561,8.86561
9.15176,9.15176
8.68736,9.0712
10.6217,9.70247
10.3318,9.8821
10.0501,9.70735
9.67066,11.1586
10.2222,10.6659
11.0436,11.0188
11.6983,11.9936
12.5243,12.1919
11.9583,11.9583
12.6444,12.5922
12.8163,12.9275
13.0661,12.0162
13.0457,13.5968
13.3184,13.3184
13.2674,14.3401
14.4697,13.301
14.6213,14.7613
15.0244,14.3947
14.6453,14.6453
14.7317,15.6882
16.0846,15.3279
14.7402,14.7013
14.9792,15.1409
16.5551,16.617
16.189,16.189
16.1056,17.0693
16.1779,15.7179
16.9393,16.9393
16.886,18.0008
18.128,16.9332
17.6743,17.6743
18.4737,17.8624
18.1556,18.1556
17.5287,19.0552
18.8001,18.8186
19.3294,19.6982
18.6678,19.4558
19.1112,19.834
19.3159,18.9711
19.8363,18.9332
19.114,19.7116
20.4143,20.787
21.3172,21.3791
19.9765,20.8053
20.8228,20.6586
21.5523,20.7726
20.635,22.1656
21.3929,21.1431
21.7286,21.7286
22.1751,21.2657
22.3419,22.0819
22.0197,22.6475
22.9168,22.9706
23.712,22.6364
22.0975,23.755
23.1332,23.9488
22.6169,23.3185
23.4998,23.4998
23.7618,23.7783
23.868,23.868
23.205,24.7575
24.4352,23.4401
25.3263,25.3623
23.6444,25.1256
24.7466,24.7466
24.9149,24.9149
25.8182,25.4398
24.9366,25.0437
25.405,25.405
24.6534,26.1634
25.5818,26.2189
25.8721,25.8721
25.3864,26.9874
